用户名,内容
价值立方,谢邀。关于题主所提到的跟风式考研现象，不可否认这种情况还是蛮普遍的。关于大学生为什么会跟风考研呢？看到很多大佬分析的比较全面了：无非是从众心理、逃避就业、目标不明确、父母之命等等。我对以上原因持保留态度，好像大家都不太赞同跟风这一行为。那么，首先我们就来讨论一下“跟风”这一行为有错吗？1、&#34;跟风”有时候更能体现自我认知明确。很多人会说，不对呀？“跟风”是一种是一种无脑的重复，他并没有创造什么价值，只是为了追求而追求。对于大学生来说，有一部分人是无法辨别出来自己应该从事什么？如何实现自己的价值？如何报答社会，空有一腔热血，却无用武之地。如果这个时间，用来继续深造，扩大自己的眼界，毕竟有一种成就是需要“大器晚成”的。很多年轻的一辈，是不会理解读不起书的情况的，但是父母辈是经历过的，所以当你没有明确的目标的时候，去读研深造，在读研的几年不断的发现自己的目标，有何不可呢？会比一些大学生美其名曰读研就是盲目努力，但是他呢？一毕业就失业，高不成低不就的。2、“跟风”有时候也代表一种别无选择。不管你认不认可，学历在一定程度上有通行证的功能。你发现没有，我们就业的那年一定就业环境不佳，就像上学的时候，班主任说，你们是我们带的最差的一届，我们大学生的压力无论是在就业还是学习上的压力是一样的，所以说，考研是并不仅仅是逃避就业，还是为了之后更好的就业。还有就是有一些优秀的同学，他们选择考研是对就业市场的评估之后的选择。通过寻求实习，留意之后的求职岗位，发现目标岗位都是研究生学历起，如果坚持求职目标，就不得不继续进修，提升自己，让自己配得上岗位。但是，别无选择的之后常常伴随着绝处逢生。通过考研（英语、专业课、政治等），考生又重新的复习了一遍的基础知识，在整个职业生涯甚至一生中，你会发现这些学科的基础知识对我们的帮助。综上所述，小编并不认为“跟风”考研一定有过错，只要根据自身情况，做出最适合当下的决定，并为之努力就好。最后，用罗曼·罗兰说过的一句话结尾：”多读书、多学习、多求经验，就是前途的保障。“与君共勉！
奋斗瓜皮侠,啥叫跟风？国家现在就是需要高专业度的人才，你也不想想想本科读了啥。。。科技才是第一生产力。世界正在进行科技革命，不回来考研，难道当民科嘛。。。
有研人,不管是真心想考还是跟风去考研，所有选择考研的人都是想要一个更高的学历，可想而知学历在现在是有多重要的。确实，学历并不能完全体现一个人的能力，但是公司在招聘的时候，都是先看你的学历，资质经历相同的人，hr往往会选择学历更高的。所以很多人并不是跟风考研，而是被逼无奈，如果真的有一份很好的工作摆在眼前，谁有会选择去考研呢？
浴血奋战,深造了属于是，太nb了。我没讽刺啊
新航道北京学校,考研不是所谓的跟风社会上所谓的“大学生毕业找不到工作”，是一种不太负责任的想法。工作好找，找好工作，难。好的工作，首先需要学历作为敲门砖。你能力再好，那没有什么可以证明。招聘就是看学历。所谓的吸引力，不是说考研就一定怎么怎么样。但是，考研能给你带来的，不是毕业之后，立刻，立刻，就有好工作，而是长久发展，长远打算。以及你作为普通本科生遇不到的人脉和机会。点击主页有更多考研、出国备考学习方面的干货和资讯，更多详细内容点击关注哟~留学备考交流群：ncsq0409
AikunXu,一个字“卷”！即使卷不死自己，也要卷死同事~其实是一种社会焦虑的表现呢，跟着自己心走就行哦！
小必宰治,无论出于什么目的，学习总不是坏事。
猛男,听说研究生不用当牛马 
everything,从众心理嘛，这不很正常？
火禾,硕士比本科生就业好，博士比硕士就业好，为什么不试试呢？这是常识，需要什么特别复杂的分析吗
兔兔兔兔兔兔兔兔子,你这问题就问的有毛病，我不知道大家是不是跟风考研，但就我而言，考研这条路一定要去走，双非二本，毕业出来很难就业，只能考研去提升学历，考研考不上可能还要二战三站，放假也得准备考公务员，凭着应届生还可以搏一搏。不是要跟考研的风，大家有好出路谁也不愿意去拼命学习，天天内耗各种卷。是没办法啊，我不仅得跟考研的风我还得去跟公务员的风，还有可能得跟风好多次。学不明白的痛苦，无论怎么努力感觉还是没啥收获，找不对学习方法浪费时间，这或许就是我次次失败的原因吧，感觉自己不是学习的料，但干别的只会更差，趁着还能考，多试一试说不定就成了呢
蛋包饭,提一个好多人没说的，看看现在有多少考研辅导班。也许你会说是有需求才有市场。但是市场暴利有时候也是会引导需求的。
知乎用户,大环境就是经济不太好，就业压力大。个人我觉得还是认知不清楚吧，很多人就是逃避。
奇怪的网友,拿头找工作去？
Mr.3,要不是为了找工作你会考研吗
清羽,往届生答一发双非一本边缘文科专业，平平无奇的毕业，工作随便进了某国企集团下的分支单位，做党纪工团方面的工作，包住有饭补工作常常摸鱼，离腾讯大楼半小时地铁，干完一年到手大概8w左右，总结一下就是混吃等死。目前正在备考，至于为啥想考研呢？每当我看不下书时，就看了看旁边一到放假就是躺着抖音+手游—外卖—抖音+手游—睡觉的一堆专科同事兼室友。大概是我不想和他们一样成为一坨垃圾吧。
知乎用户,现在做啥事不是跟风呢。读计算机专业不是跟风吗？转行互联网不是跟风吗？学编程搞技术不是跟风吗？出国旅游、买买买、结婚、去北上广深、考公务员……可以说大部分的人做大部分的事情都是“跟风”。考验又不是什么多牛逼的事情，怎么不能跟风了？
Evening,考研的本质也是某种“逃避”
yokefellow,有些人嘴巴上说说考研，但实际上没有去主动了解相关的考研信息，学习很被动。
夕阳西下一点红,其实我打小就对吃饭没啥兴趣，再好吃的东西也没啥兴趣吃第二回。可是如果我不吃，我就会弱不禁风，会身体不好，没办法，我只能跟风吃饭了。
wenwen,怎么看待30年前的高中生跟风似的高考？
人间百利甜,有的人想逃避就业，有的人则是想用他作为跳板
知乎用户,高考时候不懂学了机械专业，不考研怎么转行啊
知乎用户,这是趋势，不管是真心还是假意，这就是历史的趋势，在经济学上，什么都要讲求成本，考研读研也就是两三年的时间，怎么也比将来后悔要好，时间是不会倒流，珍惜现在，才能把握将来
DieDie大师兄,出去找工作发现屁都不会
Pluto Li,关 你啥事？
小新学姐,自来~跟风考研主要是因为来自于他人（父母、亲戚、朋友）的眼光还有自身的压力以及对未来的迷茫这三大原因所致1、他人的眼光很多在校生可能连考研考的科目都不了解，就盲目走上了考研这条路。父母、亲戚、朋友总会拿你和其他人做对比：“xxx考上研了，学历高，起点高，就业自然选择就多”“xxx高考分数没你高，都考上研了，你却还没有考研的规划”“我们宿舍的人都打算考研了，就差你一个了，大伙一起考研，备考路上也有伴啊！”于是，身边的人越来越多的考研了，为了顺应考研的浪潮，就要积极转变自己毕竟人是“群居动物”（这么说也不精准），不“合群”难免会遭到身边人“异样”的眼光最后，自己也成为了考研大军中其中一员，没有主见。2、自身的压力对自己的学历不满意，想要进一步提升，考研自然也成了选项之一学历、专业技能不达标、专业、就业前景诸多因素也影响着自己不管如何，先考个研，找个目标奋斗下吧，或许还有改变自己的机会3、对未来的迷茫临近毕业，实习公司不满意。想去的公司，竞争又太激烈认清了社会的残酷，明白了人生的每个阶段其实都是在挤独木桥唯有自身强大，才不会被社会淘汰。在之后，下定决心改变自己于是慌慌张张制定了“提升计划”——考研想着，现在不如意，考上研就会好起来了考得上考不上另当别论，总之别辜负年华，随后稀里糊涂的备考，冲刺，参考。对于考研我的观点：1、先想清楚究竟为何考研？（提高学历、更好的就业、能有更优秀的社交圈子）2、想清楚为谁考研？（是为了别人，还是为自己？）3、我哪怕没考上研，我能学到/得到什么？（自律，知识，人际关系，目标规划）4、我是否真正了解考研，为了考研，我能努力到什么程度，我该制定何种计划来支撑考研这个梦想建议考生们好好想想上述问题，再考虑自己究竟要不要考研考研切忌盲目跟风，不是每一个人都适合或许换一种思维方式，更适合你个人发展也不错欢迎关注海天考研，实时更新考研资讯，分享考研知识干货，提供报考指南免费领取考研资料详戳↓↓：免费领取考研资料输入院校专业 免费获得量身规划：输入院校专业 免费获得量身规划
