用户昵称,商品id,评分,商品尺寸,商品颜色,评论时间,评论内容,评论类型
s***3,16557862457,5,60升,??【黑科技】电子镁棒零电洗,2021-11-02 10:03:19,京东的物流还是非常的给力，产品颜值非常高，高端大气，性价比很高，连接可以远程操作！安装师傅非常专业、态度良好，一次很好的购物体验！,pos
u***a,16561929582,5,60升,??【黑科技】电子镁棒零电洗,2021-11-02 20:22:27,发货神速，安装神速，出水断电功能不用每次使用时断电实在方便，可以远程控制，方便操作，棒！,pos
么***啰,16514897931,5,60升,【高端旗舰】电子镁棒即开即热,2021-10-25 10:31:08,送货调货特别快，加热速度特别快师傅上门安装也非常及时拍。 外形外观：电子显示屏幕非常高级 加热速度：加热速度特别快，热水容量也大,pos
****i,16679155135,5,60升,??【黑科技】电子镁棒零电洗,2021-11-18 13:50:27,双十一购物，配货速度快，包装完美，安装师傅服务很到位，也很热心，主要热水器挺好，热水快，出水断电，链接可以手机控制。,pos
j***n,16596238959,5,60升,??【黑科技】电子镁棒零电洗,2021-11-07 23:06:05,安装好使用天了，感觉非常棒，可定时开关机，出水断电很安全，电子镁棒免更换，变频一级能效，安装很快，师傅服务很好，五星好评！,pos
x***7,16037301677,5,60升,【新品首发】电子镁棒零电洗,2021-07-25 13:06:39,热水器颜值很高，质感和做工很好，美的大品牌值得信赖。加热功率可调，人多大功率加热，人少小功率加热，非常实用，最心动的是电子镁棒，不需要更换镁棒是最好的设计。,pos
****S,16606159995,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-09 15:18:01,机器真是非常好，功能多还方便好用，颜色也是很正，和我家墙砖真的好搭，试了一下，水温真的上升很快，显示屏的颜色也时很时尚，咋瞅咋喜欢，物流也快，安装上门也快，总之真的很满意，就是刚送来第一个的时候，板面上有一点小瑕疵，不过第二天就给我送开一个新的，又把第二个拿走了，瑕不瑕疵的不要紧，这售后真的是很给力，这样的售后，在这买什么东西都不用害怕！,pos
a***赫,15877282931,5,60升,【新品首发】电子镁棒零电洗,2021-06-27 12:33:37,外形外观：外观时尚，看着很干净，白胖白胖的。 加热速度：加热速度快。 耗能情况：能耗低。 洗浴时间：足够用。 关注美的热水器很长时间，最终选择了这款产品，昧棒免更换，用着更安心。赞！,pos
静***鸽,16706515672,5,60升,【超级新品】电子镁棒涡旋速热,2021-11-23 00:13:02,美的的就是不错，大品牌，外观小巧好看，颜值很高。安装师傅也很用心，很棒的购物体验。这款尺寸比其他品牌的桶直径要小，所以显的空间大，很好很喜欢,pos
h***u,14259782925,5,60升,【高端旗舰】电子镁棒即开即热,2020-06-09 12:50:46,商品安装很及时，安装师傅十分专业，很满意。商品很不错，预约安装后马上就给致电预约安装后安装了，商品看起来也十分大气，显示设施十分大气，美的热水器内含镁棒净水设备，不用担心水质问题，可以放心使用。手机智能控制使用跟快捷， 外形外观：美的热水器外观为暗金色颜色十分大气。 加热速度：加热速度很快，人洗浴没有问题。 耗能情况：能耗情况咨询客服说正常工作状态小时度电 洗浴时间：洗浴时间可以在手机自由预约，不用担心水温不够。 其他特色：安装师傅，安装很及时，安装很专业，十分满意。,pos
k***n,15923991599,5,60升,【新品首发】电子镁棒零电洗,2021-07-04 15:59:46,完美送货 外形外观：非常非常棒，美观一流 加热速度：非常非常快，瓦和瓦。有双加热和单加热。 耗能情况：非常省电，能耗很低。而且我做了定时开关。相当好用。 洗浴时间：洗浴用水热水相当方便。,pos
u***t,16579026666,5,60升,??【黑科技】电子镁棒零电洗,2021-11-05 11:00:34,这款热水器的颜色很好看，变频模式加热水很快速。连接手机-控制非常方便。智能杀菌模式，智能联网手机实时察看非常方便，连洗澡时出水即断电，非常安全。双十一活动期间购买的，优惠大，值得入手。,pos
y***9,15060267557,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-17 18:04:34,非常高端大气 漂亮 智能 之前买的产品有问题 退货换个高端产品 美的老用户了 新产品第一时间体验 值得购买,pos
创***活,16613962619,5,80升,??【黑科技】电子镁棒零电洗,2021-11-10 19:47:24,美观大方看着有档次，用着舒适方便，加热速度，最主要的是非常智能可以用手机控制，人没到家可以先烧热水到家直接沐浴节省了很多时间，有保温内胆停电一天根本不用担心，热水照常使用，感谢美的的产品，感谢高科技。  外观材质：颜值很高，性价比超高 容量大小：完全足够了，加热功能很好用 加热效果：很快，很烫，很棒棒 选热水器的时候纠结了很久，史密斯跟美的之间，最后还是选择了美的，性价比超高，最后安装用完以后，发现自己的选择没有错，美的值得信赖的好产品！,pos
l***1,16574190333,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-04 16:18:47,货已收到、对安装舒服很满意、认真细心负责、 服务很到位、以后多来关顾美的产品、给安装师傅五星好评、,pos
飞***o,16593881825,5,80升,??【黑科技】电子镁棒零电洗,2021-11-07 17:50:12,美的值得信赖，质量很好，售后服务也很好，预约安装很快，安装师傅非常专业，家里用的一直是美的电器,pos
張***8,15050074291,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-15 15:53:40,非常不错，看起来很大气，顺丰快递很快就到了，快递小哥特别好，约好时间就来了，给送到没电梯的楼。刚装修好，希望能耐用，双十二活动买的。,pos
小***3,16500392534,5,80升,【高端旗舰】电子镁棒即开即热,2021-10-22 13:25:23,外观高端大气，颜色很漂亮，容量也足够一家老小够用。智能连接，不在家也能打开热水器。送货很快，服务好，安装给力，买家电上京东还是比较省心放心。,pos
d***s,16581766501,5,60升,??【黑科技】电子镁棒零电洗,2021-11-05 18:11:07,无滤镜分享，配送很快，安装也主动联系，等配送到了之后安装也很及时。外观也漂亮，热水器试用了一次也很不错～水热的快水量也不错，期待后续使用顺利，会多多试用加热速度等，服务很配合～,pos
****s,16613339732,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-10 18:13:59,加热速度：这不一会就可以用了，真的太友好了。原来家里的热水器每次想洗澡了都得等半个小时以后，还可以用家里的天猫精灵。真的是越来越好，越来越智能化，让一家人用起来都很舒服，性价比很高 。 特别感谢安装师傅，要为他点个赞???上午约了下午就来了，本来尺寸不太符合，但是在我们师傅高超的技术下把它装得很完美。,pos
****w,15067029123,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-19 10:15:09,外形外观：美观大气，显示清楚，颜色也非常喜欢非常好！ 加热速度：加热速度快， 其他特色：能手机联网， 安装及时满意，师傅非常认真，态度很好！,pos
l***0,16618197217,5,80升,??【黑科技】电子镁棒零电洗,2021-11-11 11:48:51,选择这款美的（）-() ，是看了网上的攻略推荐，高端大气不说，双管加热，水质保证，超大容量，怎么说呢，洗澡尤其是冬天洗澡是幸福的，温度和水量缺一不可，生活已经有很多痛苦了，但至少在洗澡的时候我们可以获得一份沁人心脾的舒爽与安慰。,pos
L***飞,16585244315,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-06 11:13:42,家里的电器一直都是首选美的，大品牌，质量及售后可靠，冬天要来了，热水器可是必不可少的家庭电器，这款热水器免清洗，双十一活动性价比非常高，高科技让生活越来越美的，京东物流还是一如既往的给力！,pos
狐***人,16608879956,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-09 22:12:34,安装好后已经使用了几天，早晚浴功能很方便。手机就可以直接控制，提前烧好热水真的太好用了，省心不少，双十一价格也很优惠，超值~,pos
王***运,16416325893,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-05 21:19:12,质量很好，活动价格非常给力，送了京豆，厨宝，电动牙刷，还有个鸡肋净水壶，哈哈。 这款是，的，加热速度更快，还带。 美的八年质保，放心。 安装师傅经常打交道，很不错，哈哈。,pos
****j,15572614717,5,60升,【高端旗舰】电子镁棒即开即热,2021-04-18 09:41:24,外形外观：美观大气 加热速度：分钟，很快 耗能情况：一级能耗，节能省电 洗浴时间：完全够用  总的来说非常满意，安装师傅也很负责，热水器还没到，就打电话预约安装。安装之后效果也很。????,pos
u***i,16621620137,5,60升,??【黑科技】电子镁棒零电洗,2021-11-11 18:59:51,物流很快第二天就到了 师傅上门安装的 外观简洁大方，好评哦,pos
赠***伦,15242766299,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-01-24 16:00:57,美的热水器大品牌值得信赖，质量好，外观漂亮，高端大气上档次，很满意。 鸿蒙智控系统给热水器添上了智能的翅膀，操控方便智能，连最传统的热水器都装起了大脑，操作非常方便，定时开关省电很多，大大的好评！！,pos
卡***i,14654113960,5,60升,【奢华净浴】除氯净水护发柔肤,2020-09-17 21:34:02,外形外观：外观大气 喜欢这款颜色 高贵大气 触屏很灵敏 加热速度：装机以后加水试了一下 加热速度快 耗能情况：云智能 智能操控耗电低 洗浴时间：三个人足够使用 其他特色：智能感满满的 可以手机操控,pos
m***i,16286666433,5,60升,【新品首发】电子镁棒零电洗,2021-09-11 12:24:15,美的产品一直坚持用，家里的电气设备基本都是咱们美的品牌的！非常喜欢这款热水器，做工精致、小巧、大容量、外观美观！安装师傅非常负责，安装稳定、可靠！配送员配送速度快，产品包装结实，送货速度超级快！会一如既往支持！！,pos
微***6,15862466602,5,60升,【高端旗舰】电子镁棒即开即热,2021-06-24 13:07:59,大品牌，升容量刚刚好，安装师傅很认真负责，款式很高端，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，,pos
l***l,16642377805,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-14 16:52:51,安装完成，满意。一天之内，全部时间凑上了，电话赶紧约好时间，拆旧机，物流送机，装机，无缝对接，没有拖延太好了，这样不怕晚上没热水洗澡了。,pos
****e,16568830702,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 20:07:01,外形外观：大气的外观，高大上的白色，很喜欢，赶上优惠的时候下单了，一家人洗澡方便了，很好。,pos
